SalaryID,PlayerName,SeasonStartYear,Salary,InflationAdjSalary
108,Chris Morris,1996,"$2,500,000","$4,334,652"
109,Stacey Augmon,1996,"$2,480,000","$4,299,974"
110,Micheal Williams,1996,"$2,475,000","$4,291,305"
111,Terry Mills,1996,"$2,457,000","$4,260,096"
112,Marcus Camby,1996,"$2,434,000","$4,220,217"
113,BJ Armstrong,1996,"$2,400,000","$4,161,266"
114,Cedric Ceballos,1996,"$2,400,000","$4,161,266"
115,Scott Williams,1996,"$2,400,000","$4,161,266"
116,Jeff Hornacek,1996,"$2,396,000","$4,154,330"
117,Gheorghe Muresan,1996,"$2,363,000","$4,097,113"
118,Dan Majerle,1996,"$2,350,000","$4,074,573"
119,Andrew Lang,1996,"$2,332,000","$4,043,363"
120,Armen Gilliam,1996,"$2,317,000","$4,017,355"
121,Terry Davis,1996,"$2,300,000","$3,987,880"
122,Antoine Carr,1996,"$2,300,000","$3,987,880"
123,Jerry Stackhouse,1996,"$2,286,000","$3,963,605"
124,Kevin Edwards,1996,"$2,280,000","$3,953,202"
125,Rodney Rogers,1996,"$2,280,000","$3,953,202"
126,Allen Iverson,1996,"$2,267,000","$3,930,662"
127,Grant Long,1996,"$2,260,000","$3,918,525"
128,Jayson Williams,1996,"$2,250,000","$3,901,186"
129,Scottie Pippen,1996,"$2,250,000","$3,901,186"
130,John Salley,1996,"$2,225,000","$3,857,840"
131,Duane Causwell,1996,"$2,215,000","$3,840,501"
132,Shareef Abdur-Rahim,1996,"$2,186,000","$3,790,219"
133,Doug West,1996,"$2,155,000","$3,736,470"
134,Blue Edwards,1996,"$2,100,000","$3,641,107"
135,George Lynch,1996,"$2,090,000","$3,623,769"
136,Rasheed Wallace,1996,"$2,060,000","$3,571,753"
137,Chuck Person,1996,"$2,060,000","$3,571,753"
138,Reggie Williams,1996,"$2,048,000","$3,550,947"
139,Vinny Del Negro,1996,"$2,023,000","$3,507,600"
140,Mark West,1996,"$2,000,000","$3,467,721"
141,Vincent Askew,1996,"$2,000,000","$3,467,721"
142,PJ Brown,1996,"$2,000,000","$3,467,721"
143,Elliot Perry,1996,"$2,000,000","$3,467,721"
144,Adam Keefe,1996,"$1,950,000","$3,381,028"
145,Stephon Marbury,1996,"$1,917,000","$3,323,811"
146,John Starks,1996,"$1,913,000","$3,316,875"
147,Terry Dehere,1996,"$1,905,000","$3,303,004"
148,Nick Van Exel,1996,"$1,900,000","$3,294,335"
149,Sasha Danilovic,1996,"$1,892,000","$3,280,464"
150,Greg Anthony,1996,"$1,875,000","$3,250,989"
151,Dell Curry,1996,"$1,830,000","$3,172,965"
152,Bobby Phills,1996,"$1,808,000","$3,134,820"
153,Greg Minor,1996,"$1,800,000","$3,120,949"
154,Eddie Jones,1996,"$1,800,000","$3,120,949"
155,Ray Allen,1996,"$1,785,000","$3,094,941"
156,Don MacLean,1996,"$1,780,000","$3,086,272"
157,Terry Porter,1996,"$1,775,000","$3,077,603"
158,Pervis Ellison,1996,"$1,760,000","$3,051,595"
159,Khalid Reeves,1996,"$1,752,000","$3,037,724"
160,Rick Fox,1996,"$1,750,000","$3,034,256"
161,Malik Sealy,1996,"$1,732,000","$3,003,047"
162,Lindsey Hunter,1996,"$1,715,000","$2,973,571"
163,Robert Horry,1996,"$1,703,000","$2,952,765"
164,Donald Royal,1996,"$1,700,000","$2,947,563"
165,Tracy Murray,1996,"$1,700,000","$2,947,563"
166,Bryant Reeves,1996,"$1,695,000","$2,938,894"
167,Kevin Garnett,1996,"$1,666,000","$2,888,612"
168,Ervin Johnson,1996,"$1,636,000","$2,836,596"
169,Antoine Walker,1996,"$1,620,000","$2,808,854"
170,Dale Ellis,1996,"$1,600,000","$2,774,177"
171,Brent Price,1996,"$1,600,000","$2,774,177"
172,Popeye Jones,1996,"$1,581,000","$2,741,234"
173,Muggsy Bogues,1996,"$1,575,000","$2,730,830"
174,Michael Smith,1996,"$1,570,000","$2,722,161"
175,Matt Geiger,1996,"$1,562,000","$2,708,290"
176,Jalen Rose,1996,"$1,560,000","$2,704,822"
177,Carl Herrera,1996,"$1,550,000","$2,687,484"
178,Damon Stoudamire,1996,"$1,547,000","$2,682,282"
179,Will Perdue,1996,"$1,544,000","$2,677,081"
180,Anthony Peeler,1996,"$1,540,000","$2,670,145"
181,Frank Brickowski,1996,"$1,500,000","$2,600,791"
182,Kevin Willis,1996,"$1,500,000","$2,600,791"
183,Lorenzen Wright,1996,"$1,480,000","$2,566,114"
184,Michael Cage,1996,"$1,473,000","$2,553,977"
185,Kenny Gattison,1996,"$1,450,000","$2,514,098"
186,Yinka Dare,1996,"$1,448,000","$2,510,630"
187,Marty Conlon,1996,"$1,447,500","$2,509,763"
188,Shawn Respert,1996,"$1,417,000","$2,456,880"
189,Bimbo Coles,1996,"$1,400,000","$2,427,405"
190,Mario Elie,1996,"$1,400,000","$2,427,405"
191,Eric Piatkowski,1996,"$1,363,000","$2,363,252"
192,Kerry Kittles,1996,"$1,356,000","$2,351,115"
193,Nate McMillan,1996,"$1,355,000","$2,349,381"
194,Doug Christie,1996,"$1,355,000","$2,349,381"
195,Brooks Thompson,1996,"$1,332,300","$2,310,022"
196,Greg Graham,1996,"$1,330,000","$2,306,034"
197,Terrell Brandon,1996,"$1,312,000","$2,274,825"
198,Ed O'Bannon,1996,"$1,303,000","$2,259,220"
199,Randy Brown,1996,"$1,300,000","$2,254,019"
200,Derek Harper,1996,"$1,300,000","$2,254,019"
201,Hubert Davis,1996,"$1,295,000","$2,245,349"
202,Brian Grant,1996,"$1,293,000","$2,241,882"
203,Eric Montross,1996,"$1,280,000","$2,219,341"
204,Samaki Walker,1996,"$1,246,000","$2,160,390"
205,Kurt Thomas,1996,"$1,238,000","$2,146,519"
206,Scott Burrell,1996,"$1,235,000","$2,141,318"
207,Chris Mills,1996,"$1,235,000","$2,141,318"
208,Sam Cassell,1996,"$1,235,000","$2,141,318"
209,Corie Blount,1996,"$1,235,000","$2,141,318"
210,James Robinson,1996,"$1,235,000","$2,141,318"
211,Rex Walters,1996,"$1,235,000","$2,141,318"
212,Joe Kleine,1996,"$1,235,000","$2,141,318"
213,Acie Earl,1996,"$1,235,000","$2,141,318"
214,Johnny Newman,1996,"$1,225,000","$2,123,979"
215,Ricky Pierce,1996,"$1,200,000","$2,080,633"
216,Eddie Johnson,1996,"$1,200,000","$2,080,633"
217,Sean Rooks,1996,"$1,200,000","$2,080,633"
218,Sam Mitchell,1996,"$1,200,000","$2,080,633"
219,Lucious Harris,1996,"$1,200,000","$2,080,633"
220,Kevin Gamble,1996,"$1,196,000","$2,073,697"
221,Buck Williams,1996,"$1,193,000","$2,068,496"
222,Erick Dampier,1996,"$1,184,000","$2,052,891"
223,Gary Trent,1996,"$1,176,000","$2,039,020"
224,Jon Koncak,1996,"$1,150,000","$1,993,940"
225,Mark Bryant,1996,"$1,150,000","$1,993,940"
226,Carlos Rogers,1996,"$1,144,000","$1,983,536"
227,Todd Fuller,1996,"$1,125,000","$1,950,593"
228,Bill Curley,1996,"$1,123,000","$1,947,125"
229,Tony Dumas,1996,"$1,120,000","$1,941,924"
230,Cherokee Parks,1996,"$1,117,000","$1,936,722"
231,George McCloud,1996,"$1,100,000","$1,907,246"
232,Lee Mayberry,1996,"$1,100,000","$1,907,246"
233,Haywoode Workman,1996,"$1,080,000","$1,872,569"
234,Tom Hammonds,1996,"$1,070,000","$1,855,231"
235,Vitaly Potapenko,1996,"$1,068,000","$1,851,763"
236,Corliss Williamson,1996,"$1,051,000","$1,822,287"
237,Dickey Simpkins,1996,"$1,040,000","$1,803,215"
238,Duane Ferrell,1996,"$1,040,000","$1,803,215"
239,Clifford Rozier,1996,"$1,040,000","$1,803,215"
240,Wesley Person,1996,"$1,040,000","$1,803,215"
241,Aaron McKie,1996,"$1,040,000","$1,803,215"
242,Avery Johnson,1996,"$1,040,000","$1,803,215"
243,Monty Williams,1996,"$1,040,000","$1,803,215"
244,B.J. Tyler,1996,"$1,040,000","$1,803,215"
245,Kobe Bryant,1996,"$1,015,000","$1,759,868"
246,Eric Williams,1996,"$1,008,000","$1,747,731"
247,Bill Wennington,1996,"$1,000,000","$1,733,860"
248,Robert Parish,1996,"$1,000,000","$1,733,860"
249,Vernon Maxwell,1996,"$1,000,000","$1,733,860"
250,Jamie Watson,1996,"$1,000,000","$1,733,860"
251,Eric Mobley,1996,"$992,000","$1,719,989"
252,Brent Barry,1996,"$958,000","$1,661,038"
253,Lorenzo Williams,1996,"$940,000","$1,629,829"
254,Steve Nash,1996,"$916,000","$1,588,216"
255,Alan Henderson,1996,"$910,000","$1,577,813"
256,Charlie Ward,1996,"$888,000","$1,539,668"
257,Tony Delk,1996,"$870,000","$1,508,458"
258,Bob Sura,1996,"$864,000","$1,498,055"
259,Jermaine O'Neal,1996,"$827,000","$1,433,902"
260,Theo Ratliff,1996,"$821,000","$1,423,499"
261,Zan Tabak,1996,"$800,000","$1,387,088"
262,John Wallace,1996,"$785,000","$1,361,080"
263,Randolph Childress,1996,"$784,000","$1,359,346"
264,Herb Williams,1996,"$757,000","$1,312,532"
265,Steve Kerr,1996,"$750,000","$1,300,395"
266,Chris Carr,1996,"$750,000","$1,300,395"
267,Walter McCarty,1996,"$750,000","$1,300,395"
268,Michael Finley,1996,"$723,000","$1,253,581"
269,Zydrunas Ilgauskas,1996,"$720,000","$1,248,379"
270,Jason Caffey,1996,"$700,000","$1,213,702"
271,Pete Chilcutt,1996,"$700,000","$1,213,702"
272,George Zidek,1996,"$694,000","$1,203,299"
273,Dontae' Jones,1996,"$691,000","$1,198,097"
274,Travis Best,1996,"$666,000","$1,154,751"
275,Roy Rogers,1996,"$664,000","$1,151,283"
276,Keith Askins,1996,"$650,000","$1,127,009"
277,Loren Meyer,1996,"$639,000","$1,107,937"
278,Dwayne Schintzius,1996,"$625,000","$1,083,663"
279,David Vaughn,1996,"$614,000","$1,064,590"
280,Derek Fisher,1996,"$612,000","$1,061,122"
281,Bo Outlaw,1996,"$600,000","$1,040,316"
282,Mitchell Butler,1996,"$600,000","$1,040,316"
283,Greg Anderson,1996,"$584,000","$1,012,574"
284,Danny Schayes,1996,"$575,000","$996,970"
285,Greg Ostertag,1996,"$573,000","$993,502"
286,Jerome Williams,1996,"$568,000","$984,832"
287,David Wingate,1996,"$560,000","$970,962"
288,Mario Bennett,1996,"$555,000","$962,292"
289,Brian Evans,1996,"$551,000","$955,357"
290,Priest Lauderdale,1996,"$548,000","$950,155"
291,Cory Alexander,1996,"$521,000","$903,341"
292,Antonio Lang,1996,"$520,000","$901,607"
293,David Benoit,1996,"$508,000","$880,801"
294,Alton Lister,1996,"$500,000","$866,930"
295,Jud Buechler,1996,"$500,000","$866,930"
296,Gary Grant,1996,"$500,000","$866,930"
297,Chucky Brown,1996,"$500,000","$866,930"
298,Sherell Ford,1996,"$500,000","$866,930"
299,Dontonio Wingfield,1996,"$500,000","$866,930"
300,Brad Lohaus,1996,"$485,000","$840,922"
301,Donny Marshall,1996,"$450,000","$780,237"
302,Tim Legler,1996,"$450,000","$780,237"
303,Greg Foster,1996,"$420,000","$728,221"
304,Darrell Armstrong,1996,"$410,000","$710,882"
305,Martin Muursepp,1996,"$401,000","$695,278"
306,Don Reid,1996,"$400,000","$693,544"
307,Michael Curry,1996,"$400,000","$693,544"
308,Rick Mahorn,1996,"$400,000","$693,544"
309,Joe Wolf,1996,"$400,000","$693,544"
310,Chris Whitney,1996,"$400,000","$693,544"
311,Bryon Russell,1996,"$385,000","$667,536"
312,Darrick Martin,1996,"$375,000","$650,197"
313,Craig Ehlo,1996,"$360,000","$624,189"
314,David Wesley,1996,"$350,000","$606,851"
315,Jimmy King,1996,"$330,000","$572,174"
316,Lawrence Moten,1996,"$321,000","$556,569"
317,Shane Heal,1996,"$320,000","$554,835"
318,Shawnelle Scott,1996,"$300,000","$520,158"
319,Ed Pinckney,1996,"$300,000","$520,158"
320,Howard Eisley,1996,"$298,000","$516,690"
321,Fred Hoiberg,1996,"$297,000","$514,956"
322,Rafael Addison,1996,"$290,000","$502,819"
323,Andrew DeClercq,1996,"$276,000","$478,545"
324,Steve Scheffler,1996,"$275,000","$476,811"
325,Xavier McDaniel,1996,"$254,000","$440,400"
326,Anthony Goldwire,1996,"$250,000","$433,465"
327,Jon Barry,1996,"$247,500","$429,130"
328,Eldridge Recasner,1996,"$247,500","$429,130"
329,Tyrone Corbin,1996,"$247,500","$429,130"
330,Donnie Boyce,1996,"$247,500","$429,130"
331,Ivano Newbill,1996,"$247,500","$429,130"
332,Willie Burton,1996,"$247,500","$429,130"
333,Tony Massenburg,1996,"$247,500","$429,130"
334,Tony Smith,1996,"$247,500","$429,130"
335,Carl Thomas,1996,"$247,500","$429,130"
336,Oliver Miller,1996,"$247,500","$429,130"
337,Fred Roberts,1996,"$247,500","$429,130"
338,Greg Dreiling,1996,"$247,500","$429,130"
339,Keith Jennings,1996,"$247,500","$429,130"
340,LaSalle Thompson,1996,"$247,500","$429,130"
341,Litterial Green,1996,"$247,500","$429,130"
342,Lou Roe,1996,"$247,500","$429,130"
343,Mike Peplowski,1996,"$247,500","$429,130"
344,Matt Bullard,1996,"$247,500","$429,130"
345,Matt Maloney,1996,"$247,500","$429,130"
346,Othella Harrington,1996,"$247,500","$429,130"
347,Sam Mack,1996,"$247,500","$429,130"
348,Charles Jones,1996,"$247,500","$429,130"
349,Tracy Moore,1996,"$247,500","$429,130"
350,Brent Scott,1996,"$247,500","$429,130"
351,Jerome Allen,1996,"$247,500","$429,130"
352,Kevin Duckworth,1996,"$247,500","$429,130"
353,Jerome Kersey,1996,"$247,500","$429,130"
354,Byron Scott,1996,"$247,500","$429,130"
355,Rumeal Robinson,1996,"$247,500","$429,130"
356,Doug Edwards,1996,"$247,500","$429,130"
357,Rich Manning,1996,"$247,500","$429,130"
358,Isaac Austin,1996,"$247,500","$429,130"
359,Mark Strickland,1996,"$247,500","$429,130"
360,Voshon Lenard,1996,"$247,500","$429,130"
361,Tony Farmer,1996,"$247,500","$429,130"
362,David Wood,1996,"$247,500","$429,130"
363,Dean Garrett,1996,"$247,500","$429,130"
364,Chris Jent,1996,"$247,500","$429,130"
365,Eric Leckner,1996,"$247,500","$429,130"
366,Scott Brooks,1996,"$247,500","$429,130"
367,Antonio Harvey,1996,"$247,500","$429,130"
