GameID,GameType,HomeTeam,AwayTeam,Date
99,Regular,Minnesota Timberwolves,Dallas Mavericks,14-11-1996
100,Regular,Golden State Warriors,Milwaukee Bucks,14-11-1996
101,Regular,Houston Rockets,Indiana Pacers,14-11-1996
102,Regular,Los Angeles Clippers,Seattle SuperSonics,14-11-1996
103,Regular,Utah Jazz,Vancouver Grizzlies,15-11-1996
104,Regular,Philadelphia 76ers,Cleveland Cavaliers,15-11-1996
105,Regular,San Antonio Spurs,Indiana Pacers,15-11-1996
106,Regular,Sacramento Kings,Milwaukee Bucks,15-11-1996
107,Regular,New Jersey Nets,Portland Trail Blazers,15-11-1996
108,Regular,Los Angeles Lakers,Los Angeles Clippers,15-11-1996
109,Regular,Charlotte Hornets,Chicago Bulls,15-11-1996
110,Regular,Boston Celtics,Denver Nuggets,15-11-1996
111,Regular,Atlanta Hawks,Miami Heat,15-11-1996
112,Regular,Detroit Pistons,Washington Bullets,15-11-1996
113,Regular,Orlando Magic,Toronto Raptors,16-11-1996
114,Regular,Washington Bullets,Boston Celtics,16-11-1996
115,Regular,Seattle SuperSonics,Sacramento Kings,16-11-1996
116,Regular,New York Knicks,Minnesota Timberwolves,16-11-1996
117,Regular,New Jersey Nets,Denver Nuggets,16-11-1996
118,Regular,Houston Rockets,Golden State Warriors,16-11-1996
119,Regular,Dallas Mavericks,Utah Jazz,16-11-1996
120,Regular,Cleveland Cavaliers,Detroit Pistons,16-11-1996
121,Regular,Chicago Bulls,Atlanta Hawks,16-11-1996
122,Regular,Miami Heat,Philadelphia 76ers,16-11-1996
123,Regular,Indiana Pacers,Portland Trail Blazers,17-11-1996
124,Regular,Los Angeles Clippers,Milwaukee Bucks,17-11-1996
125,Regular,Phoenix Suns,Los Angeles Lakers,17-11-1996
126,Regular,San Antonio Spurs,Golden State Warriors,17-11-1996
127,Regular,Seattle SuperSonics,Vancouver Grizzlies,17-11-1996
128,Regular,Vancouver Grizzlies,Sacramento Kings,18-11-1996
129,Regular,Milwaukee Bucks,Dallas Mavericks,19-11-1996
130,Regular,Toronto Raptors,Seattle SuperSonics,19-11-1996
131,Regular,Portland Trail Blazers,Sacramento Kings,19-11-1996
132,Regular,Orlando Magic,New York Knicks,19-11-1996
133,Regular,Golden State Warriors,Los Angeles Lakers,19-11-1996
134,Regular,Denver Nuggets,Miami Heat,19-11-1996
135,Regular,Cleveland Cavaliers,Atlanta Hawks,19-11-1996
136,Regular,Houston Rockets,Minnesota Timberwolves,19-11-1996
137,Regular,Washington Bullets,Seattle SuperSonics,20-11-1996
138,Regular,Boston Celtics,Detroit Pistons,20-11-1996
139,Regular,Charlotte Hornets,New York Knicks,20-11-1996
140,Regular,Los Angeles Lakers,Utah Jazz,20-11-1996
141,Regular,Philadelphia 76ers,Indiana Pacers,20-11-1996
142,Regular,Phoenix Suns,Chicago Bulls,20-11-1996
143,Regular,San Antonio Spurs,Los Angeles Clippers,20-11-1996
144,Regular,Vancouver Grizzlies,Miami Heat,20-11-1996
145,Regular,Denver Nuggets,Chicago Bulls,21-11-1996
146,Regular,Detroit Pistons,New Jersey Nets,21-11-1996
147,Regular,Dallas Mavericks,Los Angeles Clippers,21-11-1996
148,Regular,Houston Rockets,Phoenix Suns,21-11-1996
149,Regular,Orlando Magic,Minnesota Timberwolves,21-11-1996
150,Regular,Milwaukee Bucks,Atlanta Hawks,21-11-1996
151,Regular,Indiana Pacers,Charlotte Hornets,21-11-1996
152,Regular,Toronto Raptors,Cleveland Cavaliers,21-11-1996
153,Regular,Utah Jazz,Golden State Warriors,21-11-1996
154,Regular,Boston Celtics,Seattle SuperSonics,22-11-1996
155,Regular,Los Angeles Lakers,San Antonio Spurs,22-11-1996
156,Regular,Sacramento Kings,Miami Heat,22-11-1996
157,Regular,Washington Bullets,Philadelphia 76ers,22-11-1996
158,Regular,Utah Jazz,Chicago Bulls,23-11-1996
159,Regular,Toronto Raptors,Atlanta Hawks,23-11-1996
160,Regular,Philadelphia 76ers,New York Knicks,23-11-1996
161,Regular,New Jersey Nets,Dallas Mavericks,23-11-1996
162,Regular,Portland Trail Blazers,Denver Nuggets,23-11-1996
163,Regular,Milwaukee Bucks,Washington Bullets,23-11-1996
164,Regular,Indiana Pacers,Orlando Magic,23-11-1996
165,Regular,Golden State Warriors,Houston Rockets,23-11-1996
166,Regular,Charlotte Hornets,Detroit Pistons,23-11-1996
167,Regular,Minnesota Timberwolves,Los Angeles Clippers,23-11-1996
168,Regular,Vancouver Grizzlies,San Antonio Spurs,24-11-1996
169,Regular,New York Knicks,Seattle SuperSonics,24-11-1996
170,Regular,Phoenix Suns,Miami Heat,24-11-1996
171,Regular,Cleveland Cavaliers,Sacramento Kings,24-11-1996
172,Regular,Boston Celtics,Dallas Mavericks,24-11-1996
173,Regular,Los Angeles Lakers,Houston Rockets,24-11-1996
174,Regular,Los Angeles Clippers,Chicago Bulls,25-11-1996
175,Regular,Orlando Magic,Milwaukee Bucks,25-11-1996
176,Regular,Utah Jazz,New Jersey Nets,25-11-1996
177,Regular,Washington Bullets,Minnesota Timberwolves,25-11-1996
178,Regular,Houston Rockets,Portland Trail Blazers,26-11-1996
179,Regular,Toronto Raptors,Sacramento Kings,26-11-1996
