JumpballID,GameID,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
2942851,24894,J. Wiseman - wisemja01,D. Jordan - jordade01,J. Harris - harrijo01
2942852,24894,,,
2942853,24894,,,
2942854,24894,,,
2942855,24894,,,
2942856,24894,,,
2942857,24894,,,
2942858,24894,,,
2942859,24894,,,
2942860,24894,,,
2942861,24894,,,
2942862,24894,,,
2942863,24894,,,
2942864,24894,,,
2942865,24894,,,
2942866,24894,,,
2942867,24894,,,
2942868,24894,,,
2942869,24894,,,
2942870,24894,,,
2942871,24894,,,
2942872,24894,,,
2942873,24894,,,
2942874,24894,,,
2942875,24894,,,
2942876,24894,,,
2942877,24894,,,
2942878,24894,,,
2942879,24894,,,
2942880,24894,,,
2942881,24894,,,
2942882,24894,,,
2942883,24894,,,
2942884,24894,,,
2942885,24894,,,
2942886,24894,,,
2942887,24894,,,
2942888,24894,,,
2942889,24894,,,
2942890,24894,,,
2942891,24894,,,
2942892,24894,,,
2942893,24894,,,
2942894,24894,,,
2942895,24894,,,
2942896,24894,,,
2942897,24894,,,
2942898,24894,,,
2942899,24894,,,
2942900,24894,,,
2942901,24894,,,
2942902,24894,,,
2942903,24894,,,
2942904,24894,,,
2942905,24894,,,
2942906,24894,,,
2942907,24894,,,
2942908,24894,,,
2942909,24894,,,
2942910,24894,,,
2942911,24894,,,
2942912,24894,,,
2942913,24894,,,
2942914,24894,,,
2942915,24894,,,
2942916,24894,,,
2942917,24894,,,
2942918,24894,,,
2942919,24894,,,
2942920,24894,,,
2942921,24894,,,
2942922,24894,,,
2942923,24894,,,
2942924,24894,K. Bazemore - bazemke01,K. Durant - duranke01,K. Oubre - oubreke01
2942925,24894,,,
2942926,24894,,,
2942927,24894,,,
2942928,24894,,,
2942929,24894,,,
2942930,24894,,,
2942931,24894,,,
2942932,24894,,,
2942933,24894,,,
2942934,24894,,,
2942935,24894,,,
2942936,24894,,,
2942937,24894,,,
2942938,24894,,,
2942939,24894,,,
2942940,24894,,,
2942941,24894,,,
2942942,24894,,,
2942943,24894,,,
